2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Char/Letterspace@F:	Inh
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Char/LocalizeFont/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Char/LocalizeFont@F:	Inh
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Char/Overline/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Char/Overline@F:	Inh
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Char/Pos/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Char/Pos@F:	Inh
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Char/RTLText/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Char/RTLText@F:	Inh
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Char/Size/#text:	0.1111111111111111
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Char/Size@F:	Inh
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Char/Size@Unit:	PT
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Char/Strikethru/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Char/Strikethru@F:	Inh
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Char/Style/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Char/Style@F:	Inh
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Char/UseVertical/#text:	0
